,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-13,24.89,18.92,35.87,32.75,115.55,44.31,35.91,23.08,17.23,39.84,21.32,35.81,122.48,25.72,26.14,45.67,10.34,25.84,11.12,78.94,17.17,30.86,19.3,46.9,13.04,22.04,91.22,57.33,17.94,22.23,27.89,36.35,28.95,31.94,10.82,23.4,18.07,22.71,15.35,17.1,4.04,9.0,78.27,40.7,60.52,33.59,28.29,38.48,31.73,0.0,5.39,4.8,14.42,59.91,30.53,47.83,16.58,34.74,16.54
2009-04-14,24.59,17.04,35.83,32.65,113.71,43.51,35.31,23.21,17.02,39.83,21.48,35.5,108.33,25.19,25.9,45.31,9.81,25.4,11.0,77.22,16.87,30.54,19.08,46.54,12.59,21.4,90.6,56.15,16.67,22.09,27.5,35.39,28.55,30.95,9.91,25.05,17.96,22.17,15.5,17.05,4.08,8.52,75.43,40.04,59.8,33.61,27.15,38.41,31.36,0.0,5.32,4.82,14.07,59.63,27.81,46.73,16.61,34.69,15.95
2009-04-15,24.67,19.07,35.99,33.12,113.07,44.78,35.28,23.78,16.56,40.52,21.7,35.97,114.05,25.52,26.02,45.46,10.08,25.0,11.43,74.71,16.59,30.55,19.43,47.24,13.06,21.71,90.21,56.25,17.83,22.72,27.27,35.28,28.83,30.99,10.25,26.37,18.23,22.46,15.21,17.32,3.83,8.58,76.68,41.31,60.97,34.11,27.77,38.73,32.03,0.0,5.36,4.9,14.02,60.01,29.49,45.99,16.27,35.19,16.4
2009-04-16,24.72,19.13,36.9,33.84,116.73,44.71,36.21,23.77,17.38,41.06,22.15,36.03,114.05,26.04,27.23,45.01,10.46,25.19,11.46,77.25,17.18,30.77,19.46,48.14,13.41,21.95,92.57,55.6,17.74,23.49,28.4,34.97,28.93,30.87,10.15,27.86,19.46,22.72,15.92,17.86,3.95,8.83,76.26,42.73,63.63,34.45,27.7,39.82,33.64,0.0,5.19,5.18,14.43,59.37,30.11,46.63,16.75,36.42,16.23
2009-04-17,24.96,20.17,36.24,33.78,118.63,44.86,37.49,23.59,16.89,41.44,22.39,35.38,113.49,26.75,26.9,44.49,10.56,26.37,11.68,78.05,17.47,30.12,19.43,47.31,13.15,21.86,92.42,55.67,18.48,23.56,28.11,34.69,28.55,30.93,10.41,26.7,19.04,22.83,16.07,18.01,3.79,9.07,76.71,43.77,63.11,34.33,28.36,40.7,33.36,0.0,5.22,5.33,14.39,58.79,30.13,47.81,16.67,36.9,15.93
2009-04-20,23.57,17.55,35.15,32.16,115.82,42.91,34.7,23.18,16.37,41.17,21.08,34.41,108.23,26.6,26.97,43.67,9.67,25.7,11.21,77.57,16.38,29.41,19.13,45.69,12.66,21.81,91.65,53.86,15.51,22.17,27.24,33.22,26.95,30.2,7.87,21.26,18.05,22.0,15.49,16.65,3.5,8.24,75.37,42.98,62.11,33.9,27.87,39.67,31.87,0.0,4.79,4.82,13.66,57.5,26.89,47.16,16.04,36.27,15.5
2009-04-21,24.05,18.1,35.03,32.31,117.03,42.47,34.71,23.85,16.68,41.2,21.5,35.14,113.27,26.65,27.44,44.16,9.97,26.23,11.15,78.74,16.74,29.38,18.6,46.85,12.96,21.9,93.37,54.71,17.16,23.26,28.25,34.17,27.76,30.32,8.6,24.06,18.22,22.63,15.3,16.9,3.6,8.45,76.04,43.53,62.37,34.27,28.01,40.63,32.56,0.0,5.08,5.0,14.38,58.33,29.47,47.42,16.39,36.95,15.77
2009-04-22,23.65,17.97,35.21,32.88,116.79,41.29,34.67,22.59,16.52,41.06,22.69,35.46,113.39,26.24,26.76,43.39,10.06,25.53,10.75,79.2,17.37,29.22,18.53,46.65,12.76,21.85,93.59,53.76,16.58,23.0,28.32,33.8,28.7,30.19,8.11,23.57,18.31,22.89,15.78,17.0,4.06,8.5,77.85,42.39,61.39,33.69,28.21,42.17,31.87,0.0,4.85,5.1,14.48,57.03,28.89,46.24,16.16,36.88,15.36
2009-04-23,24.81,19.39,37.55,33.44,120.53,41.21,34.53,22.45,16.64,40.72,22.76,36.92,115.57,26.12,26.3,43.3,10.12,25.88,10.95,80.61,19.51,30.34,18.52,47.66,12.36,22.14,92.56,55.26,18.33,22.77,27.65,35.64,28.7,30.74,8.66,24.72,17.83,22.53,15.51,17.65,4.26,8.35,79.55,42.15,63.45,33.48,28.07,43.28,31.95,0.0,4.91,5.17,14.55,57.87,30.08,47.14,16.33,37.72,15.8
2009-04-24,25.61,23.39,37.36,34.13,119.09,41.75,34.14,22.63,18.39,40.67,23.8,38.14,114.15,26.21,26.51,42.43,10.32,26.61,10.86,84.46,19.78,30.4,18.47,50.11,12.62,22.35,91.33,56.16,19.52,23.86,27.8,37.34,29.74,30.65,8.94,24.06,18.31,23.02,15.99,17.98,4.74,8.47,80.47,42.31,63.22,33.34,28.18,43.0,32.9,0.0,5.25,5.36,14.73,58.63,30.24,46.29,17.07,37.71,15.91
